수집시각,기준시각,코드,지역명,혼잡도,인구min,인구max,위도,경도
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI053,합정역,여유,5000,5500,37.548573,126.910845
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI054,혜화역,여유,7000,7500,37.582374,127.00144
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI055,홍대입구역(2호선),여유,6000,6500,37.556069,126.923298
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI056,회기역,여유,7000,7500,37.590538,127.057
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI058,가락시장,여유,8500,9000,37.494455,127.11055
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI059,가로수길,여유,9500,10000,37.522663,127.025433
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI060,광장(전통)시장,여유,1000,1500,37.569817,127.000149
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI061,김포공항,여유,3500,4000,37.562289,126.802899
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI063,노량진,여유,12000,14000,37.513691,126.949071
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI064,덕수궁길·정동길,여유,1000,1500,37.565974,126.972445
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI066,북촌한옥마을,여유,4000,4500,37.584256,126.983861
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI067,서촌,여유,8500,9000,37.580188,126.966623
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI068,성수카페거리,여유,7000,7500,37.542277,127.055602
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI070,쌍문역,여유,4500,5000,37.647693,127.032393
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI071,압구정로데오거리,여유,10000,12000,37.525604,127.040402
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI072,여의도,여유,36000,38000,37.525493,126.923389
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI073,연남동,여유,6000,6500,37.561427,126.924063
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI074,영등포 타임스퀘어,여유,4000,4500,37.516532,126.905239
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI076,용리단길,여유,3000,3500,37.531106,126.971474
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI077,이태원 앤틱가구거리,여유,3000,3500,37.531873,126.993434
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI078,인사동,여유,3500,4000,37.573996,126.986057
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI079,창동 신경제 중심지,여유,14000,16000,37.656168,127.053288
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI080,청담동 명품거리,여유,1500,2000,37.526455,127.043541
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI081,청량리 제기동 일대 전통시장,여유,7500,8000,37.579978,127.038279
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI082,해방촌·경리단길,여유,2500,3000,37.541438,126.988368
